Timestamp,Material_Name,Category,Price_USD
2022-07-01,EUV Photoresist,Chemical,1902.96
2022-08-01,EUV Photoresist,Chemical,1837.45
2022-09-01,EUV Photoresist,Chemical,1857.06
2022-10-01,EUV Photoresist,Chemical,1880.76
2022-11-01,EUV Photoresist,Chemical,1904.6
2022-12-01,EUV Photoresist,Chemical,1850.77
2023-01-01,EUV Photoresist,Chemical,1861.63
2023-02-01,EUV Photoresist,Chemical,1827.57
2023-03-01,EUV Photoresist,Chemical,1824.24
2023-04-01,EUV Photoresist,Chemical,1898.56
2023-05-01,EUV Photoresist,Chemical,1918.68
2023-06-01,EUV Photoresist,Chemical,1865.84
2023-07-01,EUV Photoresist,Chemical,1905.63
2023-08-01,EUV Photoresist,Chemical,1881.88
2023-09-01,EUV Photoresist,Chemical,1844.63
2023-10-01,EUV Photoresist,Chemical,1881.87
2023-11-01,EUV Photoresist,Chemical,1925.41
2023-12-01,EUV Photoresist,Chemical,1867.17
2024-01-01,EUV Photoresist,Chemical,1926.39
2024-02-01,EUV Photoresist,Chemical,1771.57
2024-03-01,EUV Photoresist,Chemical,1898.91
2024-04-01,EUV Photoresist,Chemical,1871.72
2024-05-01,EUV Photoresist,Chemical,1857.44
2024-06-01,EUV Photoresist,Chemical,1871.9
2024-07-01,EUV Photoresist,Chemical,1794.96
2024-08-01,EUV Photoresist,Chemical,1860.37
2024-09-01,EUV Photoresist,Chemical,1881.71
2024-10-01,EUV Photoresist,Chemical,1923.18
2024-11-01,EUV Photoresist,Chemical,1849.32
2024-12-01,EUV Photoresist,Chemical,1838.59
2025-01-01,EUV Photoresist,Chemical,1849.93
2025-02-01,EUV Photoresist,Chemical,1902.37
2025-03-01,EUV Photoresist,Chemical,1880.66
2025-04-01,EUV Photoresist,Chemical,1848.9
2025-05-01,EUV Photoresist,Chemical,1887.49
2025-06-01,EUV Photoresist,Chemical,1872.09
2025-07-01,EUV Photoresist,Chemical,1904.34
2025-08-01,EUV Photoresist,Chemical,1842.52
2025-09-01,EUV Photoresist,Chemical,1856.38
2025-10-01,EUV Photoresist,Chemical,1853.99
2025-11-01,EUV Photoresist,Chemical,1814.35
2025-12-01,EUV Photoresist,Chemical,1879.46
2026-01-01,EUV Photoresist,Chemical,1878.16
2022-01-01,Electronic Grade Silicon,Feedstock,29.21
2022-02-01,Electronic Grade Silicon,Feedstock,28.67
2022-03-01,Electronic Grade Silicon,Feedstock,29.34
2022-04-01,Electronic Grade Silicon,Feedstock,30.09
2022-05-01,Electronic Grade Silicon,Feedstock,28.58
2022-07-01,Electronic Grade Silicon,Feedstock,30.14
2022-08-01,Electronic Grade Silicon,Feedstock,29.44
2022-09-01,Electronic Grade Silicon,Feedstock,28.38
2022-10-01,Electronic Grade Silicon,Feedstock,29.25
2022-11-01,Electronic Grade Silicon,Feedstock,28.39
2022-12-01,Electronic Grade Silicon,Feedstock,28.39
2023-01-01,Electronic Grade Silicon,Feedstock,28.99
2023-02-01,Electronic Grade Silicon,Feedstock,27.15
2023-03-01,Electronic Grade Silicon,Feedstock,27.31
2023-04-01,Electronic Grade Silicon,Feedstock,28.59
2023-05-01,Electronic Grade Silicon,Feedstock,27.92
2023-06-01,Electronic Grade Silicon,Feedstock,29.05
2023-07-01,Electronic Grade Silicon,Feedstock,28.01
2023-08-01,Electronic Grade Silicon,Feedstock,27.58
2023-09-01,Electronic Grade Silicon,Feedstock,30.04
2023-10-01,Electronic Grade Silicon,Feedstock,28.59
2023-11-01,Electronic Grade Silicon,Feedstock,28.84
2023-12-01,Electronic Grade Silicon,Feedstock,27.57
2024-01-01,Electronic Grade Silicon,Feedstock,28.32
2024-02-01,Electronic Grade Silicon,Feedstock,28.88
2024-03-01,Electronic Grade Silicon,Feedstock,27.8
2024-04-01,Electronic Grade Silicon,Feedstock,29.11
2024-05-01,Electronic Grade Silicon,Feedstock,28.27
2024-06-01,Electronic Grade Silicon,Feedstock,28.54
2024-07-01,Electronic Grade Silicon,Feedstock,28.27
2024-08-01,Electronic Grade Silicon,Feedstock,30.37
2024-09-01,Electronic Grade Silicon,Feedstock,28.77
2024-10-01,Electronic Grade Silicon,Feedstock,27.88
2024-11-01,Electronic Grade Silicon,Feedstock,29.49
2024-12-01,Electronic Grade Silicon,Feedstock,27.74
2025-01-01,Electronic Grade Silicon,Feedstock,28.96
2025-02-01,Electronic Grade Silicon,Feedstock,27.11
2025-03-01,Electronic Grade Silicon,Feedstock,27.65
2025-04-01,Electronic Grade Silicon,Feedstock,28.95
2025-05-01,Electronic Grade Silicon,Feedstock,29.42
2025-06-01,Electronic Grade Silicon,Feedstock,28.93
2025-07-01,Electronic Grade Silicon,Feedstock,28.69
2025-08-01,Electronic Grade Silicon,Feedstock,28.53
2025-09-01,Electronic Grade Silicon,Feedstock,27.52
2025-10-01,Electronic Grade Silicon,Feedstock,28.17
2025-11-01,Electronic Grade Silicon,Feedstock,28.39
2025-12-01,Electronic Grade Silicon,Feedstock,29.69
2026-01-01,Electronic Grade Silicon,Feedstock,29.08
